[Tue Jan 26 13:00:35.162480 2016] [:error] [pid 15181] [client 127.0.0.1:35248] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 11, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=0
[Tue Jan 26 13:02:35.164604 2016] [:error] [pid 15723] [client 127.0.0.1:35251] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 11, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=0
[Tue Jan 26 13:04:27.598273 2016] [:error] [pid 15620] [client 127.0.0.1:35252] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=0
[Tue Jan 26 13:04:33.090309 2016] [:error] [pid 15180] [client 127.0.0.1:35253] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=0
[Tue Jan 26 13:05:36.169432 2016] [:error] [pid 15182] [client 127.0.0.1:35257] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=0
[Tue Jan 26 13:07:36.165296 2016] [:error] [pid 15207] [client 127.0.0.1:35259] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=0
[Tue Jan 26 13:07:47.526737 2016] [:error] [pid 15619] [client 127.0.0.1:35260] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/themes.php
[Tue Jan 26 13:07:48.348763 2016] [:error] [pid 15184] [client 127.0.0.1:35261] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12
[Tue Jan 26 13:07:48.492857 2016] [:error] [pid 15181] [client 127.0.0.1:35262] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12
[Tue Jan 26 13:07:52.880678 2016] [:error] [pid 15723] [client 127.0.0.1:35263] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/themes.php
[Tue Jan 26 13:08:19.576494 2016] [:error] [pid 15616] [client 127.0.0.1:35268] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 12, referer: http://test.loc/wp-admin/themes.php
